75AB5D,Lancaster,2016-10-28,75AB5D
C75C30,Levittown,2017-04-10,C75C30
98BC2A,Harrisburg,2017-05-16,98BC2A
2AB054,Erie,2017-08-29,2AB054
A9D75B,Scranton,2017-04-24,A9D75B
D36CA5,Scranton,2017-03-30,D36CA5
7382DD,Reading,2017-05-04,7382DD
2A585C,Pittsburgh,2017-09-15,2A585C
170D38,Bristol,2016-12-05,170D38
3A33BA,Scranton,2017-03-18,3A33BA
2EE835,Pittsburgh,2017-08-13,2EE835
8873C2,Erie,2017-07-24,8873C2
0741B5,Pittsburgh,2017-03-05,0741B5
2B2A61,Bethlehem,2017-01-25,2B2A61
758B5D,Upper Darby,2016-12-22,758B5D
4648F3,Harrisburg,2017-03-12,4648F3
BE8667,Erie,2017-02-03,BE8667
D7E334,Scranton,2017-09-03,D7E334
3AE433,Abington,2017-05-09,3AE433
8B80E7,Lower Merion,2017-01-30,8B80E7
4F44D4,Scranton,2016-11-16,4F44D4
F437B6,Levittown,2017-07-17,F437B6
1378C4,Philadelphia,2017-04-21,1378C4
CB1299,Harrisburg,2017-04-09,CB1299
EADF5B,Allentown,2017-07-24,EADF5B
F3DD6A,Bethlehem,2017-07-26,F3DD6A
B64165,Philadelphia,2017-02-03,B64165
FB679E,Reading,2016-12-22,FB679E
4425EB,Abington,2016-12-05,4425EB
3F104A,Upper Darby,2017-09-03,3F104A
FB3938,Levittown,2017-05-07,FB3938
AAFC4E,Erie,2017-01-09,AAFC4E
744FC5,Scranton,2017-04-12,744FC5
05623C,Bethlehem,2016-12-13,05623C
F8A9A2,Philadelphia,2017-04-11,F8A9A2
57EA7D,Lower Merion,2017-02-02,57EA7D
BD3991,Scranton,2017-08-25,BD3991
0DA75B,Bristol,2017-01-06,0DA75B
90E96F,Lower Merion,2017-02-19,90E96F
B84398,Lancaster,2017-07-18,B84398
2FC618,Scranton,2016-12-22,2FC618
6130B4,Upper Darby,2017-01-29,6130B4
74818C,Abington,2017-05-22,74818C
C9E174,Philadelphia,2017-07-10,C9E174
C12BA9,Levittown,2017-09-21,C12BA9
AEB61D,Levittown,2017-07-13,AEB61D
5E494A,Bensalem,2017-08-26,5E494A
B371BD,Philadelphia,2017-09-10,B371BD
133ABC,Reading,2017-09-10,133ABC
B1F6E2,Levittown,2017-06-24,B1F6E2
6FEC26,Reading,2017-09-23,6FEC26
A019BA,Abington,2017-07-06,A019BA
DFB53B,Scranton,2017-04-04,DFB53B
EF1BF3,Harrisburg,2017-09-08,EF1BF3
ED3D76,Lower Merion,2017-02-10,ED3D76
BE17A7,Upper Darby,2017-06-14,BE17A7
C31D02,Bethlehem,2016-12-18,C31D02
FA4105,Bristol,2017-09-04,FA4105
3EF966,Lancaster,2017-03-31,3EF966
6E75AF,Harrisburg,2017-09-10,6E75AF
B9F524,Levittown,2017-02-04,B9F524
D83656,Pittsburgh,2017-06-21,D83656
D8C48D,Pittsburgh,2017-05-01,D8C48D
5F3F28,Reading,2016-12-25,5F3F28
30ADA5,Levittown,2017-05-26,30ADA5
B6AADA,Scranton,2017-05-01,B6AADA
0FE20F,Lower Merion,2017-02-26,0FE20F
8AEFC8,Pittsburgh,2017-01-24,8AEFC8
1E01E6,Upper Darby,2016-11-16,1E01E6
CF5752,Philadelphia,2017-07-01,CF5752
B3C235,Bethlehem,2017-05-12,B3C235
49B2F4,Bensalem,2017-05-01,49B2F4
92FEF4,Bristol,2017-07-14,92FEF4
08897C,Bethlehem,2017-03-09,08897C
88D367,Scranton,2016-12-13,88D367
1C8DD3,Abington,2017-01-21,1C8DD3
A512E8,Upper Darby,2017-01-10,A512E8
97417D,Lancaster,2017-04-23,97417D
6D4031,Bethlehem,2017-08-09,6D4031
B9791B,Bethlehem,2016-11-14,B9791B
41E01A,Upper Darby,2017-02-02,41E01A
6FA181,Pittsburgh,2017-03-22,6FA181
CF0963,Erie,2016-12-05,CF0963
7009DB,Allentown,2017-01-22,7009DB
CA6AE2,Scranton,2017-01-20,CA6AE2
24D4C8,Harrisburg,2017-03-09,24D4C8
6F12D8,Bensalem,2017-09-30,6F12D8
D9B102,Harrisburg,2017-05-30,D9B102
D0544E,Bensalem,2017-07-25,D0544E
559A14,Lancaster,2017-01-23,559A14
923B68,Levittown,2017-01-23,923B68
0D38FE,Reading,2017-07-08,0D38FE
06D522,Allentown,2017-01-08,06D522
EFCD1B,Levittown,2017-03-28,EFCD1B
E76CB4,Harrisburg,2017-04-10,E76CB4
575DE5,Lancaster,2016-11-08,575DE5
EDDF5C,Levittown,2017-01-23,EDDF5C
BF933B,Abington,2016-10-29,BF933B
AD558A,Bethlehem,2016-12-05,AD558A
9D90D2,Bristol,2017-07-12,9D90D2
3CC99F,Philadelphia,2017-09-30,3CC99F
25EA1F,Erie,2017-07-21,25EA1F
A16475,Erie,2017-05-26,A16475
95682D,Lower Merion,2017-01-21,95682D
8D3E80,Allentown,2017-03-07,8D3E80
FC3BD2,Abington,2017-05-22,FC3BD2
BEC2FD,Levittown,2016-11-09,BEC2FD
B3875A,Reading,2017-01-28,B3875A
8FB095,Harrisburg,2017-05-09,8FB095
FC2E26,Reading,2017-07-10,FC2E26
87581B,Upper Darby,2017-06-24,87581B
95D49A,Lower Merion,2017-06-01,95D49A
E9B3AC,Bethlehem,2016-11-03,E9B3AC
1C12D2,Harrisburg,2017-04-02,1C12D2
C74C6F,Upper Darby,2017-01-29,C74C6F
3BD626,Lower Merion,2017-04-04,3BD626
35873A,Pittsburgh,2017-06-18,35873A
1387B1,Reading,2016-10-29,1387B1
CACD40,Pittsburgh,2017-04-26,CACD40
95061B,Upper Darby,2017-07-07,95061B
DA3377,Lancaster,2017-04-11,DA3377
A8BFA6,Philadelphia,2017-09-30,A8BFA6
7021B9,Scranton,2016-11-29,7021B9
E782E7,Bensalem,2017-09-20,E782E7
5DF04E,Allentown,2017-06-23,5DF04E
6AA4CC,Bensalem,2017-01-07,6AA4CC
9F52BF,Reading,2017-01-24,9F52BF
4D0398,Scranton,2017-04-02,4D0398
65C584,Abington,2016-11-21,65C584
F62648,Levittown,2016-10-27,F62648
487CB6,Bensalem,2017-02-10,487CB6
EA5FD6,Reading,2017-07-12,EA5FD6
362B9E,Upper Darby,2017-05-25,362B9E
7AFD39,Harrisburg,2017-01-20,7AFD39
70F612,Allentown,2017-09-13,70F612
FF4204,Lancaster,2016-11-24,FF4204
B9E9C8,Scranton,2017-05-24,B9E9C8
F2F330,Bensalem,2017-07-15,F2F330
A242B2,Lower Merion,2017-05-06,A242B2
0467CF,Erie,2017-07-22,0467CF
4E0ACE,Scranton,2017-03-05,4E0ACE
34008A,Abington,2017-05-24,34008A
69C13B,Levittown,2017-02-09,69C13B
04DE0A,Allentown,2017-03-13,04DE0A
3F1E67,Scranton,2017-03-09,3F1E67
FA6543,Philadelphia,2017-07-06,FA6543
ED205A,Levittown,2017-08-27,ED205A
CD114A,Scranton,2017-05-09,CD114A
F1A1D7,Levittown,2017-02-05,F1A1D7
E91A2A,Reading,2016-12-21,E91A2A
C304D5,Lancaster,2017-01-26,C304D5
5218A9,Allentown,2016-10-26,5218A9
F37DE6,Allentown,2017-09-19,F37DE6
17199C,Allentown,2017-05-19,17199C
1AEA5C,Bristol,2017-08-09,1AEA5C
CE5590,Allentown,2017-08-21,CE5590
21F8F5,Lancaster,2017-02-26,21F8F5
D24929,Philadelphia,2017-03-29,D24929
DDD254,Bristol,2016-12-02,DDD254
0C1C63,Reading,2017-08-15,0C1C63
3881C0,Scranton,2017-01-22,3881C0
59C8F6,Bensalem,2017-09-06,59C8F6
E5D579,Lancaster,2017-03-16,E5D579
F97548,Allentown,2017-09-04,F97548
B44FEE,Upper Darby,2017-05-21,B44FEE
5CCBAC,Philadelphia,2016-11-16,5CCBAC
BAF9F9,Bristol,2017-09-01,BAF9F9
6BF982,Levittown,2017-08-22,6BF982
